name	z	m_V
2003aj	1.30700004	25.9107437
2003az	1.26499999	25.4441109
2003bd	0.670000017	23.6432114
2003be	0.639999986	23.4242744
2003dy	1.34000003	25.5675049
2003eq	0.839999974	24.0143051
2003XX	0.935000002	24.0401955
2001cw	0.953000009	24.7736206
2001gn	1.12399995	25.0675201
2001go	0.551999986	23.0109329
2001gq	0.671000004	23.4820061
2001gy	0.510999978	22.873661
2001hb	1.02999997	24.7400932
A-004	1.19200003	24.9587517
C-000	1.09200001	24.5078468
C-001	0.973999977	24.3341446
F-012	1.11000001	25.1253357
G-004	1.35000002	25.3270645
H-003	0.850000024	23.9942589
H-005	1.24100006	25.0817032
K-000	1.41400003	25.3037643
N-033	1.18799996	25.1076431
D-000	1.01699996	24.793972
D-006	1.31500006	25.4713593
P-009	0.82099998	24.1409378
R-012	1.21500003	25.746521
Z-005	0.623000026	23.0145226
